Station ID Lat Lon 5th 50th 95th
"Pohnpei-B" 1370 7.020000 158.330002 19.904339 31.032059 42.159779
"Baltra-B" 1645 -0.470000 269.700012 19.238562 28.754801 38.271038
"Majuro-A" 1217 7.170000 171.429993 20.364731 31.145264 41.925793
"Malakal-B" 1252 7.450000 134.580002 17.729189 29.779434 41.829681
"Yap-B" 1251 9.580000 138.229996 18.653185 30.837759 43.022335
"Rabaul" 1164 -4.200000 152.250000 18.164619 28.630316 39.096012
"Christmas-B" 801 2.120000 202.479996 19.067293 29.549049 40.030807
"Kanton-B" 575 -2.900000 188.270004 20.012995 30.006319 39.999641
"French Frigate-A" 1372 23.879999 193.669998 19.747301 30.940067 42.132835
"Papeete-B" 1397 -17.600000 210.429993 18.242641 28.426664 38.610687
"Rikitea" 1253 -23.200001 225.020004 17.780148 27.510401 37.240654
"Noumea" 2134 -22.320000 166.419998 20.470266 31.365894 42.261524
"Juan Fernandez-B" 1644 -33.669998 281.049988 16.001240 24.401150 32.801060
"Easter-C" 1272 -27.200001 250.500000 16.341635 25.943338 35.545044
"Penrhyn" 1450 -9.070000 201.919998 19.994015 29.506067 39.018120
"Saipan-B" 1474 15.320000 145.820007 17.670889 31.099552 44.528217
"Kapingamarangi" 1473 1.230000 154.869995 20.956764 30.683479 40.410194
"Santa Cruz" 300 -0.800000 269.570007 19.238562 28.754801 38.271038
"Cabo San Lucas" 1355 23.000000 250.019989 20.498720 29.547155 38.595589
"San Felix" 1751 -26.370001 279.820007 16.607313 24.847559 33.087803
"Kodiak Isl.,Alaska" 567 57.869999 207.380005 12.612923 24.975883 37.338848
"Adak,Alaska" 487 51.980000 183.229996 15.537360 26.654724 37.772087
"Dutch Harbor-B,AK" 390 54.000000 193.429993 16.358999 27.057964 37.756927
"Chichijima" 1391 27.100000 142.179993 19.164448 32.663940 46.163433
"Midway" 523 28.219999 182.630005 20.217398 32.400856 44.584312
"Wake" 595 19.280001 166.619995 18.306496 31.529507 44.752522
"Johnston" 598 16.780001 190.350006 19.710402 31.955263 44.200127
"Apra Harbor, Guam" 540 13.430000 144.649994 18.116383 30.935415 43.754448
"Chuuk" 528 7.450000 151.850006 19.646093 30.981562 42.317028
"Kwajalein" 513 8.730000 167.729996 20.297560 31.529072 42.760582
"Pago Pago" 539 -14.280000 189.320007 17.970362 29.231352 40.492340
"Honolulu-B,Hawaii" 155 21.370001 202.130005 18.919996 30.120817 41.321640
"Nawiliwili" 756 21.969999 200.649994 18.941874 30.316013 41.690151
"Kahului" 521 20.900000 203.529999 19.666025 30.760536 41.855045
"Hilo, Hawaii" 300 19.730000 204.929993 18.894131 30.688110 42.482090
"Mokuoloe" 823 21.430000 202.199997 18.919996 30.120817 41.321640
"Wellington" 221 -41.279999 174.779999 20.076012 29.795044 39.514076
"Tauranga" 1590 -37.650002 176.179993 19.949060 29.954523 39.959984
"Taranaki" 996 -39.049999 174.029999 19.640669 28.664812 37.688957
"Antofagasta" 510 -23.680000 289.549988 16.381172 23.475719 30.570269
"Valparaiso" 499 -33.119999 288.279999 14.635223 21.917517 29.199812
"Acajutla-A" 1302 13.580000 270.169983 18.290730 27.815962 37.341194
"Lobos de Afuera" 1552 -6.930000 279.279999 16.309978 26.406368 36.502762
"Buenaventura" 456 3.950000 282.830017 15.941125 24.894053 33.846981
"Quepos-A" 844 9.400000 275.830017 18.184345 26.400539 34.616734
"La Libertad" 544 -2.200000 279.080017 15.995667 25.612366 35.229065
"Callao-B" 1274 -12.080000 282.830017 16.063734 25.095675 34.127613
"Port Louis-C" 477 -20.200001 57.599998 19.641027 31.450371 43.259712
"Rodrigues" 1672 -19.680000 63.430000 19.341969 30.872110 42.402248
"Kelang" 1591 3.050000 101.430000 17.043049 25.884481 34.725918
"Keling" 1593 2.350000 102.180000 18.895512 29.045588 39.195663
"Langkawi" 1676 6.900000 99.800003 17.440760 27.399349 37.357937
"Lumut" 1594 4.300000 100.730003 17.043049 25.884481 34.725918
"Penang" 1595 5.470000 100.470001 17.043049 25.884481 34.725918
"Zanzibar" 1600 -6.200000 39.250000 21.093517 29.504183 37.914848
"Broome" 1159 -18.020000 122.230003 18.554562 29.348642 40.142719
"Darwin" 935 -12.520000 130.970001 18.536985 28.923828 39.310669
"Cocos" 983 -12.120000 96.970001 19.757786 31.184700 42.611614
"Fremantle" 111 -32.049999 115.730003 17.711519 28.527966 39.344414
"Esperance" 1114 -33.900002 122.019997 19.261734 28.920422 38.579105
"Port Elizabeth" 820 -34.049999 25.750000 22.436333 31.659636 40.882938
"Ceuta" 498 35.900002 354.679993 18.594112 24.976879 31.359650
"Vigo" 483 42.230000 351.269989 19.469782 28.701633 37.933483
"Cascais" 52 38.770000 350.579987 20.300156 28.346943 36.393730
"Funchal-B" 1030 32.730000 342.970001 21.264801 32.357250 43.449696
"Simon's Town" 826 -34.180000 18.430000 22.553577 31.025154 39.496727
"Fernandina Beach" 112 30.719999 278.529999 24.000835 35.854477 47.708118
"Key West,FL" 188 24.580000 278.119995 24.137955 34.210876 44.283794
"San Juan,PR" 1001 18.549999 293.880005 21.137850 30.440321 39.742790
