UHAWAII_ID	PSMSL_ID	Site	Basin	Lat	Lon	Region	GPD_Record_Start	GPD_Record_End	Annual_Trend	Trend_Start	Trend_End	Lambda	Q99	Shape50	Shape5	Shape95	Scale50	Scale5	Scale95	Vshape	Vscale	Vscaleshape
001b	1370	Pohnpei-B	pacific	7.02	158.33	Fd. St. Micronesia	1974	2004	2.85524215	1974	2004	1.54835291	0.37513262	-0.056004181	-0.289696088	0.177687726	0.054335375	0.034443854	0.074226895	0.01421645	0.000103001	-0.000830927
003b	1645	Baltra-B	pacific	-0.47	-90.3	Ecuador	1985	2015	1.346201542	1985	2015	1.193627451	0.501003848	-0.347159385	-0.684584427	-0.009734343	0.125475703	0.068652907	0.1822985	0.029638651	0.000840522	-0.004487693
005a	1217	Majuro-A	pacific	7.17	171.43	Rep. of Marshall I	1968	1999	2.454430464	1968	1999	1.90625	0.471979379	-0.455975402	-0.747245107	-0.164705696	0.077209677	0.048869698	0.105549655	0.02208485	0.000209075	-0.002021935
007b	1252	Malakal-B	pacific	7.45	134.58	Republic of Belau	1969	2015	2.607641634	1969	2015	1.361761622	0.398977069	-0.544316472	-0.829438863	-0.259194081	0.082691298	0.05362446	0.111758135	0.021162475	0.000219938	-0.002075511
008b	1251	Yap-B	pacific	9.58	138.23	Fd. St. Micronesia	1969	2015	3.011901331	1969	2015	1.383039147	0.325872418	0.467423992	0.155901711	0.778946272	0.041567903	0.025855492	0.057280315	0.025262833	6.43E-05	-0.000610604
010a	1164	Rabaul	pacific	-4.2	152.25	Papua New Guinea	1966	1997	-1.699627484	1966	1997	1.125	0.273513721	-0.816812108	-0.851118819	-0.782505396	0.085025502	0.085025463	0.085025541	0.000306381	4.00E-16	-8.87E-16
011b	801	Christmas-B	pacific	2.12	-157.52	Rep. of Kiribati	1974	2015	1.046673584	1974	2015	1.071463494	0.295992296	-0.355757755	-0.668709477	-0.042806033	0.080619722	0.047155213	0.11408423	0.025495205	0.000291523	-0.002466012
013b	575	Kanton-B	pacific	-2.9	-171.73	Rep. of Kiribati	1972	2012	0.998787234	1972	2012	1.438952324	0.298562307	-0.025734541	-0.265194147	0.213725065	0.051208348	0.033314869	0.069101828	0.014926856	8.33E-05	-0.000785125
014a	1372	French Frigate-A	pacific	23.88	-166.33	USA	1974	2007	1.8732641	1974	2007	1.323582703	0.246218229	-0.334311281	-0.633866494	-0.034756068	0.075999156	0.045095411	0.106902901	0.023359179	0.000248614	-0.00215114
015b	1397	Papeete-B	pacific	-17.6	-149.57	French Polynesia	1975	2015	2.112298467	1975	2015	1.609782972	0.162771713	0.233416335	-0.047907854	0.514740525	0.038123725	0.024189193	0.052058256	0.020602407	5.05E-05	-0.000616613
016a	1253	Rikitea	pacific	-23.2	-134.98	French Polynesia	1969	2015	1.680880753	1969	2015	1.702202027	0.237207085	-0.468594826	-0.755082546	-0.182107105	0.043300436	0.02835922	0.058241652	0.021365637	5.81E-05	-0.001061357
019a	2134	Noumea	pacific	-22.32	166.42	France	1967	2016	1.028571429	1967	2016	1.619955648	0.316676041	-0.195386664	-0.392790102	0.002016775	0.053998646	0.038311299	0.069685993	0.010144094	6.41E-05	-0.000652283
021b	1644	Juan Fernandez-B	pacific	-33.67	-78.95	Chile	1985	2016	-0.765478503	1985	2016	2.03125	0.367631546	0.048340072	-0.267853815	0.364533958	0.049631221	0.029867479	0.069394962	0.0260262	0.000101682	-0.001251536
022c	1272	Easter-C	pacific	-27.2	-109.5	Chile	1970	2016	0.111416904	1970	2016	2.212733733	0.27604072	0.112362364	-0.110845595	0.335570323	0.086415355	0.06103939	0.111791321	0.012969498	0.000167629	-0.001016526
024a	1450	Penrhyn	pacific	-9.07	-158.08	Cook Islands	1977	2015	1.227035992	1977	2015	1.435973041	0.196052479	0.092799174	-0.220888661	0.406487008	0.049070971	0.029076105	0.069065836	0.025615284	0.000104074	-0.001166718
028b	1474	Saipan-B	pacific	15.32	145.82	N. Mariana Islands	1978	2015	3.052399229	1978	2015	1.052669501	0.231281274	0.539355584	0.062207809	1.016503358	0.045030893	0.020565756	0.06949603	0.059266547	0.000155811	-0.001732146
029a	1473	Kapingamarangi	pacific	1.23	154.87	Fd. St. Micronesia	1978	2015	2.558435272	1978	2015	1.684271201	0.350535167	-0.141299378	-0.379354922	0.096756167	0.064642685	0.042692153	0.086593217	0.014752323	0.000125428	-0.001075497
030a	300	Santa Cruz	pacific	-0.8	-90.43	Ecuador	1978	2015	0.607809874	1978	2015	1.263203401	0.470843715	-0.354512406	-0.612517549	-0.096507262	0.094757086	0.059742617	0.129771555	0.017328483	0.000319153	-0.002095765
034a	1355	Cabo San Lucas	pacific	23	-109.98	Mexico	1973	2002	-0.039273828	1973	2002	1.466733595	0.453542121	-0.492471234	-0.777123126	-0.207819341	0.090776651	0.055948949	0.125604353	0.02109269	0.000315757	-0.002436318
035a	1751	San Felix	pacific	-26.37	-80.18	Chile	1987	2016	0.367224622	1987	2016	1.233277058	0.336652311	-0.312970397	-0.674217757	0.048276963	0.080801834	0.042566564	0.119037104	0.033971379	0.000380568	-0.003214071
039a	567	"Kodiak Isl.,Alaska"	pacific	57.87	-152.62	USA	1975	2016	-9.604634412	1975	2016	1.714229842	0.756160529	0.009356701	-0.257352018	0.27606542	0.116702331	0.075536129	0.157868534	0.018517325	0.000441149	-0.002145253
040a	487	"Adak,Alaska"	pacific	51.98	-176.77	USA	1950	2016	-1.920742068	1950	2016	1.671624714	0.56382086	-0.065823738	-0.290086493	0.158439017	0.08596075	0.060991693	0.110929807	0.013092366	0.000162296	-0.001172177
041b	390	"Dutch Harbor-B,AK"	pacific	54	-166.57	USA	1982	2016	-2.442507555	1982	2016	1.628539581	0.527807522	-0.301051399	-0.56483817	-0.037264628	0.100894259	0.064405631	0.137382887	0.018113811	0.000346592	-0.00220009
047a	1391	Chichijima	pacific	27.1	142.18	Japan	1975	2016	3.463171542	1975	2016	1.40471612	0.353795608	0.064739605	-0.200261351	0.32974056	0.075071344	0.047495598	0.102647089	0.018280947	0.000197951	-0.001284014
050a	523	Midway	pacific	28.22	-177.37	USA Trust	1947	2016	1.240609842	1947	2016	2.414238501	0.269661097	-0.005418615	-0.161142733	0.150305504	0.107018614	0.08382748	0.130209748	0.006312706	0.000140006	-0.000678876
051a	595	Wake	pacific	19.28	166.62	USA Trust	1950	2016	1.985968923	1950	2016	1.432821183	0.316317701	0.37453538	0.133716452	0.615354309	0.044932836	0.031289856	0.058575815	0.015096805	4.85E-05	-0.000436829
052a	598	Johnston	pacific	16.78	-169.65	USA Trust	1947	2015	0.9206316	1947	2015	1.811612174	0.29331016	-0.019083986	-0.157372803	0.11920483	0.088088294	0.068429378	0.10774721	0.004978264	0.000100606	-0.000451558
053a	540	"Apra Harbor, Guam"	pacific	13.43	144.65	USA Trust	1948	2016	1.832175986	1948	2016	1.101416498	0.187142755	0.090800219	-0.113660215	0.295260653	0.035319938	0.024634154	0.046005723	0.010882342	2.97E-05	-0.00033754
054a	528	Chuuk	pacific	7.45	151.85	Fd. St. Micronesia	1956	1991	1.584758818	1956	1991	1.527777778	0.284245575	0.285023452	-0.027331003	0.597377907	0.027884614	0.016704251	0.039064978	0.025397983	3.25E-05	-0.000520744
055a	513	Kwajalein	pacific	8.73	167.73	Rep. of Marshall I	1946	2014	2.456208781	1946	2014	2.014512737	0.423545674	-0.313815088	-0.441697404	-0.185932772	0.044407293	0.035376458	0.053438128	0.004257207	2.12E-05	-0.000260027
056a	539	Pago Pago	pacific	-14.28	-170.68	USA Trust	1948	2016	3.208248524	1948	2016	1.159385787	0.277785424	-0.309882112	-0.465993304	-0.153770921	0.065173202	0.048207068	0.082139336	0.006344127	7.49E-05	-0.000589408
